,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,3,male,Young Adult,1,0,7.25,0,S
1,1,1,female,Adult,1,0,71.2833,1,C
2,1,3,female,Young Adult,0,0,7.925,0,S
3,1,1,female,Young Adult,1,0,53.1,1,S
4,0,3,male,Young Adult,0,0,8.05,0,S
5,0,3,male,No age,0,0,8.4583,0,Q
6,0,1,male,Adult,0,0,51.8625,1,S
7,0,3,male,Baby/Toddler,3,1,21.075,0,S
8,1,3,female,Young Adult,0,2,11.1333,0,S
9,1,2,female,Child,1,0,30.0708,0,C
10,1,3,female,Child,1,1,16.7,1,S
11,1,1,female,Adult,0,0,26.55,1,S
12,0,3,male,Young Adult,0,0,8.05,0,S
13,0,3,male,Adult,1,5,31.275,0,S
14,0,3,female,Child,0,0,7.8542,0,S
15,1,2,female,Adult,0,0,16.0,0,S
16,0,3,male,Baby/Toddler,4,1,29.125,0,Q
17,1,2,male,No age,0,0,13.0,0,S
18,0,3,female,Young Adult,1,0,18.0,0,S
19,1,3,female,No age,0,0,7.225,0,C
20,0,2,male,Young Adult,0,0,26.0,0,S
21,1,2,male,Young Adult,0,0,13.0,1,S
22,1,3,female,Child,0,0,8.0292,0,Q
23,1,1,male,Young Adult,0,0,35.5,1,S
24,0,3,female,Child,3,1,21.075,0,S
25,1,3,female,Adult,1,5,31.3875,0,S
26,0,3,male,No age,0,0,7.225,0,C
27,0,1,male,Young Adult,3,2,263.0,1,S
28,1,3,female,No age,0,0,7.8792,0,Q
29,0,3,male,No age,0,0,7.8958,0,S
30,0,1,male,Adult,0,0,27.7208,0,C
31,1,1,female,No age,1,0,146.5208,1,C
32,1,3,female,No age,0,0,7.75,0,Q
33,0,2,male,Elderly,0,0,10.5,0,S
34,0,1,male,Young Adult,1,0,82.1708,0,C
35,0,1,male,Adult,1,0,52.0,0,S
36,1,3,male,No age,0,0,7.2292,0,C
37,0,3,male,Young Adult,0,0,8.05,0,S
38,0,3,female,Young Adult,2,0,18.0,0,S
39,1,3,female,Child,1,0,11.2417,0,C
40,0,3,female,Adult,1,0,9.475,0,S
41,0,2,female,Young Adult,1,0,21.0,0,S
42,0,3,male,No age,0,0,7.8958,0,C
43,1,2,female,Baby/Toddler,1,2,41.5792,0,C
44,1,3,female,Young Adult,0,0,7.8792,0,Q
45,0,3,male,No age,0,0,8.05,0,S
46,0,3,male,No age,1,0,15.5,0,Q
47,1,3,female,No age,0,0,7.75,0,Q
48,0,3,male,No age,2,0,21.6792,0,C
49,0,3,female,Young Adult,1,0,17.8,0,S
50,0,3,male,Child,4,1,39.6875,0,S
51,0,3,male,Young Adult,0,0,7.8,0,S
52,1,1,female,Adult,1,0,76.7292,1,C
53,1,2,female,Young Adult,1,0,26.0,0,S
54,0,1,male,Elderly,0,1,61.9792,1,C
55,1,1,male,No age,0,0,35.5,1,S
56,1,2,female,Young Adult,0,0,10.5,0,S
57,0,3,male,Young Adult,0,0,7.2292,0,C
58,1,2,female,Child,1,2,27.75,0,S
59,0,3,male,Child,5,2,46.9,0,S
60,0,3,male,Young Adult,0,0,7.2292,0,C
61,1,1,female,Adult,0,0,80.0,1,S
62,0,1,male,Adult,1,0,83.475,1,S
63,0,3,male,Child,3,2,27.9,0,S
64,0,1,male,No age,0,0,27.7208,0,C
65,1,3,male,No age,1,1,15.2458,0,C
66,1,2,female,Young Adult,0,0,10.5,1,S
67,0,3,male,Young Adult,0,0,8.1583,0,S
68,1,3,female,Young Adult,4,2,7.925,0,S
69,0,3,male,Young Adult,2,0,8.6625,0,S
70,0,2,male,Young Adult,0,0,10.5,0,S
71,0,3,female,Child,5,2,46.9,0,S
72,0,2,male,Young Adult,0,0,73.5,0,S
73,0,3,male,Young Adult,1,0,14.4542,0,C
74,1,3,male,Young Adult,0,0,56.4958,0,S
75,0,3,male,Young Adult,0,0,7.65,1,S
76,0,3,male,No age,0,0,7.8958,0,S
77,0,3,male,No age,0,0,8.05,0,S
78,1,2,male,Baby/Toddler,0,2,29.0,0,S
79,1,3,female,Young Adult,0,0,12.475,0,S
80,0,3,male,Young Adult,0,0,9.0,0,S
81,1,3,male,Young Adult,0,0,9.5,0,S
82,1,3,female,No age,0,0,7.7875,0,Q
83,0,1,male,Young Adult,0,0,47.1,0,S
84,1,2,female,Young Adult,0,0,10.5,0,S
85,1,3,female,Young Adult,3,0,15.85,0,S
86,0,3,male,Child,1,3,34.375,0,S
87,0,3,male,No age,0,0,8.05,0,S
88,1,1,female,Young Adult,3,2,263.0,1,S
89,0,3,male,Young Adult,0,0,8.05,0,S
90,0,3,male,Young Adult,0,0,8.05,0,S
91,0,3,male,Young Adult,0,0,7.8542,0,S
92,0,1,male,Adult,1,0,61.175,1,S
93,0,3,male,Young Adult,1,2,20.575,0,S
94,0,3,male,Adult,0,0,7.25,0,S
95,0,3,male,No age,0,0,8.05,0,S
96,0,1,male,Elderly,0,0,34.6542,1,C
97,1,1,male,Young Adult,0,1,63.3583,1,C
98,1,2,female,Young Adult,0,1,23.0,0,S
99,0,2,male,Young Adult,1,0,26.0,0,S
100,0,3,female,Young Adult,0,0,7.8958,0,S
101,0,3,male,No age,0,0,7.8958,0,S
102,0,1,male,Young Adult,0,1,77.2875,1,S
103,0,3,male,Young Adult,0,0,8.6542,0,S
104,0,3,male,Adult,2,0,7.925,0,S
105,0,3,male,Young Adult,0,0,7.8958,0,S
106,1,3,female,Young Adult,0,0,7.65,0,S
107,1,3,male,No age,0,0,7.775,0,S
108,0,3,male,Adult,0,0,7.8958,0,S
109,1,3,female,No age,1,0,24.15,0,Q
110,0,1,male,Adult,0,0,52.0,1,S
111,0,3,female,Child,1,0,14.4542,0,C
112,0,3,male,Young Adult,0,0,8.05,0,S
113,0,3,female,Young Adult,1,0,9.825,0,S
114,0,3,female,Young Adult,0,0,14.4583,0,C
115,0,3,male,Young Adult,0,0,7.925,0,S
116,0,3,male,Elderly,0,0,7.75,0,Q
117,0,2,male,Young Adult,1,0,21.0,0,S
118,0,1,male,Young Adult,0,1,247.5208,1,C
119,0,3,female,Baby/Toddler,4,2,31.275,0,S
120,0,2,male,Young Adult,2,0,73.5,0,S
121,0,3,male,No age,0,0,8.05,0,S
122,0,2,male,Young Adult,1,0,30.0708,0,C
123,1,2,female,Young Adult,0,0,13.0,1,S
124,0,1,male,Adult,0,1,77.2875,1,S
125,1,3,male,Child,1,0,11.2417,0,C
126,0,3,male,No age,0,0,7.75,0,Q
127,1,3,male,Young Adult,0,0,7.1417,0,S
128,1,3,female,No age,1,1,22.3583,1,C
129,0,3,male,Adult,0,0,6.975,0,S
130,0,3,male,Young Adult,0,0,7.8958,0,C
131,0,3,male,Young Adult,0,0,7.05,0,S
132,0,3,female,Adult,1,0,14.5,0,S
133,1,2,female,Young Adult,1,0,26.0,0,S
134,0,2,male,Young Adult,0,0,13.0,0,S
135,0,2,male,Young Adult,0,0,15.0458,0,C
136,1,1,female,Young Adult,0,2,26.2833,1,S
137,0,1,male,Adult,1,0,53.1,1,S
138,0,3,male,Child,0,0,9.2167,0,S
139,0,1,male,Young Adult,0,0,79.2,1,C
140,0,3,female,No age,0,2,15.2458,0,C
141,1,3,female,Young Adult,0,0,7.75,0,S
142,1,3,female,Young Adult,1,0,15.85,0,S
143,0,3,male,Young Adult,0,0,6.75,0,Q
144,0,2,male,Young Adult,0,0,11.5,0,S
145,0,2,male,Young Adult,1,1,36.75,0,S
146,1,3,male,Young Adult,0,0,7.7958,0,S
147,0,3,female,Child,2,2,34.375,0,S
148,0,2,male,Adult,0,2,26.0,1,S
149,0,2,male,Adult,0,0,13.0,0,S
150,0,2,male,Adult,0,0,12.525,0,S
151,1,1,female,Young Adult,1,0,66.6,1,S
152,0,3,male,Adult,0,0,8.05,0,S
153,0,3,male,Adult,0,2,14.5,0,S
154,0,3,male,No age,0,0,7.3125,0,S
155,0,1,male,Adult,0,1,61.3792,0,C
156,1,3,female,Child,0,0,7.7333,0,Q
157,0,3,male,Young Adult,0,0,8.05,0,S
158,0,3,male,No age,0,0,8.6625,0,S
159,0,3,male,No age,8,2,69.55,0,S
160,0,3,male,Adult,0,1,16.1,0,S
161,1,2,female,Adult,0,0,15.75,0,S
162,0,3,male,Young Adult,0,0,7.775,0,S
163,0,3,male,Young Adult,0,0,8.6625,0,S
164,0,3,male,Baby/Toddler,4,1,39.6875,0,S
165,1,3,male,Child,0,2,20.525,0,S
166,1,1,female,No age,0,1,55.0,1,S
167,0,3,female,Adult,1,4,27.9,0,S
168,0,1,male,No age,0,0,25.925,0,S
169,0,3,male,Young Adult,0,0,56.4958,0,S
170,0,1,male,Adult,0,0,33.5,1,S
171,0,3,male,Child,4,1,29.125,0,Q
172,1,3,female,Baby/Toddler,1,1,11.1333,0,S
173,0,3,male,Young Adult,0,0,7.925,0,S
174,0,1,male,Adult,0,0,30.6958,1,C
175,0,3,male,Young Adult,1,1,7.8542,0,S
176,0,3,male,No age,3,1,25.4667,0,S
177,0,1,female,Adult,0,0,28.7125,1,C
178,0,2,male,Young Adult,0,0,13.0,0,S
179,0,3,male,Adult,0,0,0.0,0,S
180,0,3,female,No age,8,2,69.55,0,S
181,0,2,male,No age,0,0,15.05,0,C
182,0,3,male,Child,4,2,31.3875,0,S
183,1,2,male,Baby/Toddler,2,1,39.0,1,S
184,1,3,female,Child,0,2,22.025,0,S
185,0,1,male,No age,0,0,50.0,1,S
186,1,3,female,No age,1,0,15.5,0,Q
187,1,1,male,Adult,0,0,26.55,0,S
188,0,3,male,Adult,1,1,15.5,0,Q
189,0,3,male,Adult,0,0,7.8958,0,S
190,1,2,female,Young Adult,0,0,13.0,0,S
191,0,2,male,Young Adult,0,0,13.0,0,S
192,1,3,female,Young Adult,1,0,7.8542,0,S
193,1,2,male,Baby/Toddler,1,1,26.0,1,S
194,1,1,female,Adult,0,0,27.7208,1,C
195,1,1,female,Adult,0,0,146.5208,1,C
196,0,3,male,No age,0,0,7.75,0,Q
197,0,3,male,Adult,0,1,8.4042,0,S
198,1,3,female,No age,0,0,7.75,0,Q
199,0,2,female,Young Adult,0,0,13.0,0,S
200,0,3,male,Young Adult,0,0,9.5,0,S
201,0,3,male,No age,8,2,69.55,0,S
202,0,3,male,Young Adult,0,0,6.4958,0,S
203,0,3,male,Adult,0,0,7.225,0,C
204,1,3,male,Young Adult,0,0,8.05,0,S
205,0,3,female,Baby/Toddler,0,1,10.4625,1,S
206,0,3,male,Young Adult,1,0,15.85,0,S
207,1,3,male,Young Adult,0,0,18.7875,0,C
208,1,3,female,Child,0,0,7.75,0,Q
209,1,1,male,Adult,0,0,31.0,1,C
210,0,3,male,Young Adult,0,0,7.05,0,S
211,1,2,female,Young Adult,0,0,21.0,0,S
212,0,3,male,Young Adult,0,0,7.25,0,S
213,0,2,male,Young Adult,0,0,13.0,0,S
214,0,3,male,No age,1,0,7.75,0,Q
215,1,1,female,Young Adult,1,0,113.275,1,C
216,1,3,female,Young Adult,0,0,7.925,0,S
217,0,2,male,Adult,1,0,27.0,0,S
218,1,1,female,Young Adult,0,0,76.2917,1,C
219,0,2,male,Young Adult,0,0,10.5,0,S
220,1,3,male,Child,0,0,8.05,0,S
221,0,2,male,Young Adult,0,0,13.0,0,S
222,0,3,male,Adult,0,0,8.05,0,S
223,0,3,male,No age,0,0,7.8958,0,S
224,1,1,male,Adult,1,0,90.0,1,S
225,0,3,male,Young Adult,0,0,9.35,0,S
226,1,2,male,Young Adult,0,0,10.5,0,S
227,0,3,male,Young Adult,0,0,7.25,0,S
228,0,2,male,Young Adult,0,0,13.0,0,S
229,0,3,female,No age,3,1,25.4667,0,S
230,1,1,female,Young Adult,1,0,83.475,1,S
231,0,3,male,Young Adult,0,0,7.775,0,S
232,0,2,male,Adult,0,0,13.5,0,S
233,1,3,female,Child,4,2,31.3875,0,S
234,0,2,male,Young Adult,0,0,10.5,0,S
235,0,3,female,No age,0,0,7.55,0,S
236,0,2,male,Adult,1,0,26.0,0,S
237,1,2,female,Child,0,2,26.25,0,S
238,0,2,male,Young Adult,0,0,10.5,0,S
239,0,2,male,Young Adult,0,0,12.275,0,S
240,0,3,female,No age,1,0,14.4542,0,C
241,1,3,female,No age,1,0,15.5,0,Q
242,0,2,male,Young Adult,0,0,10.5,0,S
243,0,3,male,Young Adult,0,0,7.125,0,S
244,0,3,male,Young Adult,0,0,7.225,0,C
245,0,1,male,Adult,2,0,90.0,1,Q
246,0,3,female,Young Adult,0,0,7.775,0,S
247,1,2,female,Young Adult,0,2,14.5,0,S
248,1,1,male,Adult,1,1,52.5542,1,S
249,0,2,male,Adult,1,0,26.0,0,S
250,0,3,male,No age,0,0,7.25,0,S
251,0,3,female,Young Adult,1,1,10.4625,1,S
252,0,1,male,Adult,0,0,26.55,1,S
253,0,3,male,Young Adult,1,0,16.1,0,S
254,0,3,female,Adult,0,2,20.2125,0,S
255,1,3,female,Young Adult,0,2,15.2458,0,C
256,1,1,female,No age,0,0,79.2,0,C
257,1,1,female,Young Adult,0,0,86.5,1,S
258,1,1,female,Young Adult,0,0,512.3292,0,C
259,1,2,female,Adult,0,1,26.0,0,S
260,0,3,male,No age,0,0,7.75,0,Q
261,1,3,male,Baby/Toddler,4,2,31.3875,0,S
262,0,1,male,Adult,1,1,79.65,1,S
263,0,1,male,Adult,0,0,0.0,1,S
264,0,3,female,No age,0,0,7.75,0,Q
265,0,2,male,Adult,0,0,10.5,0,S
266,0,3,male,Child,4,1,39.6875,0,S
267,1,3,male,Young Adult,1,0,7.775,0,S
268,1,1,female,Adult,0,1,153.4625,1,S
269,1,1,female,Young Adult,0,0,135.6333,1,S
270,0,1,male,No age,0,0,31.0,0,S
271,1,3,male,Young Adult,0,0,0.0,0,S
272,1,2,female,Adult,0,1,19.5,0,S
273,0,1,male,Adult,0,1,29.7,1,C
274,1,3,female,No age,0,0,7.75,0,Q
275,1,1,female,Adult,1,0,77.9583,1,S
276,0,3,female,Adult,0,0,7.75,0,S
277,0,2,male,No age,0,0,0.0,0,S
278,0,3,male,Child,4,1,29.125,0,Q
279,1,3,female,Young Adult,1,1,20.25,0,S
280,0,3,male,Elderly,0,0,7.75,0,Q
281,0,3,male,Young Adult,0,0,7.8542,0,S
282,0,3,male,Child,0,0,9.5,0,S
283,1,3,male,Young Adult,0,0,8.05,0,S
284,0,1,male,No age,0,0,26.0,1,S
285,0,3,male,Young Adult,0,0,8.6625,0,C
286,1,3,male,Young Adult,0,0,9.5,0,S
287,0,3,male,Young Adult,0,0,7.8958,0,S
288,1,2,male,Adult,0,0,13.0,0,S
289,1,3,female,Young Adult,0,0,7.75,0,Q
290,1,1,female,Young Adult,0,0,78.85,0,S
291,1,1,female,Young Adult,1,0,91.0792,1,C
292,0,2,male,Adult,0,0,12.875,1,C
293,0,3,female,Young Adult,0,0,8.85,0,S
294,0,3,male,Young Adult,0,0,7.8958,0,S
295,0,1,male,No age,0,0,27.7208,0,C
296,0,3,male,Young Adult,0,0,7.2292,0,C
297,0,1,female,Baby/Toddler,1,2,151.55,1,S
298,1,1,male,No age,0,0,30.5,1,S
299,1,1,female,Adult,0,1,247.5208,1,C
300,1,3,female,No age,0,0,7.75,0,Q
301,1,3,male,No age,2,0,23.25,0,Q
302,0,3,male,Young Adult,0,0,0.0,0,S
303,1,2,female,No age,0,0,12.35,1,Q
304,0,3,male,No age,0,0,8.05,0,S
305,1,1,male,Baby/Toddler,1,2,151.55,1,S
306,1,1,female,No age,0,0,110.8833,0,C
307,1,1,female,Young Adult,1,0,108.9,1,C
308,0,2,male,Young Adult,1,0,24.0,0,C
309,1,1,female,Young Adult,0,0,56.9292,1,C
310,1,1,female,Young Adult,0,0,83.1583,1,C
311,1,1,female,Young Adult,2,2,262.375,1,C
312,0,2,female,Young Adult,1,1,26.0,0,S
313,0,3,male,Young Adult,0,0,7.8958,0,S
314,0,2,male,Adult,1,1,26.25,0,S
315,1,3,female,Young Adult,0,0,7.8542,0,S
316,1,2,female,Young Adult,1,0,26.0,0,S
317,0,2,male,Adult,0,0,14.0,0,S
318,1,1,female,Young Adult,0,2,164.8667,1,S
319,1,1,female,Adult,1,1,134.5,1,C
320,0,3,male,Young Adult,0,0,7.25,0,S
321,0,3,male,Young Adult,0,0,7.8958,0,S
322,1,2,female,Young Adult,0,0,12.35,0,Q
323,1,2,female,Young Adult,1,1,29.0,0,S
324,0,3,male,No age,8,2,69.55,0,S
325,1,1,female,Adult,0,0,135.6333,1,C
326,0,3,male,Adult,0,0,6.2375,0,S
327,1,2,female,Adult,0,0,13.0,1,S
328,1,3,female,Young Adult,1,1,20.525,0,S
329,1,1,female,Child,0,1,57.9792,1,C
330,1,3,female,No age,2,0,23.25,0,Q
331,0,1,male,Adult,0,0,28.5,1,S
332,0,1,male,Adult,0,1,153.4625,1,S
333,0,3,male,Child,2,0,18.0,0,S
334,1,1,female,No age,1,0,133.65,0,S
335,0,3,male,No age,0,0,7.8958,0,S
336,0,1,male,Young Adult,1,0,66.6,1,S
337,1,1,female,Adult,0,0,134.5,1,C
338,1,3,male,Adult,0,0,8.05,0,S
339,0,1,male,Adult,0,0,35.5,1,S
340,1,2,male,Baby/Toddler,1,1,26.0,1,S
341,1,1,female,Young Adult,3,2,263.0,1,S
342,0,2,male,Young Adult,0,0,13.0,0,S
343,0,2,male,Young Adult,0,0,13.0,0,S
344,0,2,male,Adult,0,0,13.0,0,S
345,1,2,female,Young Adult,0,0,13.0,1,S
346,1,2,female,Adult,0,0,13.0,0,S
347,1,3,female,No age,1,0,16.1,0,S
348,1,3,male,Baby/Toddler,1,1,15.9,0,S
349,0,3,male,Adult,0,0,8.6625,0,S
350,0,3,male,Young Adult,0,0,9.225,0,S
351,0,1,male,No age,0,0,35.0,1,S
352,0,3,male,Child,1,1,7.2292,0,C
353,0,3,male,Young Adult,1,0,17.8,0,S
354,0,3,male,No age,0,0,7.225,0,C
355,0,3,male,Young Adult,0,0,9.5,0,S
356,1,1,female,Young Adult,0,1,55.0,1,S
357,0,2,female,Adult,0,0,13.0,0,S
358,1,3,female,No age,0,0,7.8792,0,Q
359,1,3,female,No age,0,0,7.8792,0,Q
360,0,3,male,Adult,1,4,27.9,0,S
361,0,2,male,Young Adult,1,0,27.7208,0,C
362,0,3,female,Adult,0,1,14.4542,0,C
363,0,3,male,Young Adult,0,0,7.05,0,S
364,0,3,male,No age,1,0,15.5,0,Q
365,0,3,male,Young Adult,0,0,7.25,0,S
366,1,1,female,Adult,1,0,75.25,1,C
367,1,3,female,No age,0,0,7.2292,0,C
368,1,3,female,No age,0,0,7.75,0,Q
369,1,1,female,Young Adult,0,0,69.3,1,C
370,1,1,male,Young Adult,1,0,55.4417,1,C
371,0,3,male,Young Adult,1,0,6.4958,0,S
372,0,3,male,Young Adult,0,0,8.05,0,S
373,0,1,male,Young Adult,0,0,135.6333,0,C
374,0,3,female,Baby/Toddler,3,1,21.075,0,S
375,1,1,female,No age,1,0,82.1708,0,C
376,1,3,female,Young Adult,0,0,7.25,0,S
377,0,1,male,Young Adult,0,2,211.5,1,C
378,0,3,male,Young Adult,0,0,4.0125,0,C
379,0,3,male,Young Adult,0,0,7.775,0,S
380,1,1,female,Adult,0,0,227.525,0,C
381,1,3,female,Baby/Toddler,0,2,15.7417,0,C
382,0,3,male,Young Adult,0,0,7.925,0,S
383,1,1,female,Young Adult,1,0,52.0,0,S
384,0,3,male,No age,0,0,7.8958,0,S
385,0,2,male,Young Adult,0,0,73.5,0,S
386,0,3,male,Baby/Toddler,5,2,46.9,0,S
387,1,2,female,Adult,0,0,13.0,0,S
388,0,3,male,No age,0,0,7.7292,0,Q
389,1,2,female,Young Adult,0,0,12.0,0,C
390,1,1,male,Adult,1,2,120.0,1,S
391,1,3,male,Young Adult,0,0,7.7958,0,S
392,0,3,male,Young Adult,2,0,7.925,0,S
393,1,1,female,Young Adult,1,0,113.275,1,C
394,1,3,female,Young Adult,0,2,16.7,1,S
395,0,3,male,Young Adult,0,0,7.7958,0,S
396,0,3,female,Young Adult,0,0,7.8542,0,S
397,0,2,male,Adult,0,0,26.0,0,S
398,0,2,male,Young Adult,0,0,10.5,0,S
399,1,2,female,Young Adult,0,0,12.65,0,S
400,1,3,male,Adult,0,0,7.925,0,S
401,0,3,male,Young Adult,0,0,8.05,0,S
402,0,3,female,Young Adult,1,0,9.825,0,S
403,0,3,male,Young Adult,1,0,15.85,0,S
404,0,3,female,Young Adult,0,0,8.6625,0,S
405,0,2,male,Young Adult,1,0,21.0,0,S
406,0,3,male,Adult,0,0,7.75,0,S
407,1,2,male,Baby/Toddler,1,1,18.75,0,S
408,0,3,male,Young Adult,0,0,7.775,0,S
409,0,3,female,No age,3,1,25.4667,0,S
410,0,3,male,No age,0,0,7.8958,0,S
411,0,3,male,No age,0,0,6.8583,0,Q
412,1,1,female,Young Adult,1,0,90.0,1,Q
413,0,2,male,No age,0,0,0.0,0,S
414,1,3,male,Adult,0,0,7.925,0,S
415,0,3,female,No age,0,0,8.05,0,S
416,1,2,female,Young Adult,1,1,32.5,0,S
417,1,2,female,Young Adult,0,2,13.0,0,S
418,0,2,male,Young Adult,0,0,13.0,0,S
419,0,3,female,Child,0,2,24.15,0,S
420,0,3,male,No age,0,0,7.8958,0,C
421,0,3,male,Young Adult,0,0,7.7333,0,Q
422,0,3,male,Young Adult,0,0,7.875,0,S
423,0,3,female,Young Adult,1,1,14.4,0,S
424,0,3,male,Young Adult,1,1,20.2125,0,S
425,0,3,male,No age,0,0,7.25,0,S
426,1,2,female,Young Adult,1,0,26.0,0,S
427,1,2,female,Young Adult,0,0,26.0,0,S
428,0,3,male,No age,0,0,7.75,0,Q
429,1,3,male,Young Adult,0,0,8.05,1,S
430,1,1,male,Young Adult,0,0,26.55,1,S
431,1,3,female,No age,1,0,16.1,0,S
432,1,2,female,Adult,1,0,26.0,0,S
433,0,3,male,Young Adult,0,0,7.125,0,S
434,0,1,male,Adult,1,0,55.9,1,S
435,1,1,female,Child,1,2,120.0,1,S
436,0,3,female,Young Adult,2,2,34.375,0,S
437,1,2,female,Young Adult,2,3,18.75,0,S
438,0,1,male,Elderly,1,4,263.0,1,S
439,0,2,male,Young Adult,0,0,10.5,0,S
440,1,2,female,Adult,1,1,26.25,0,S
441,0,3,male,Young Adult,0,0,9.5,0,S
442,0,3,male,Young Adult,1,0,7.775,0,S
443,1,2,female,Young Adult,0,0,13.0,0,S
444,1,3,male,No age,0,0,8.1125,0,S
445,1,1,male,Child,0,2,81.8583,1,S
446,1,2,female,Child,0,1,19.5,0,S
447,1,1,male,Young Adult,0,0,26.55,0,S
448,1,3,female,Child,2,1,19.2583,0,C
449,1,1,male,Adult,0,0,30.5,1,S
450,0,2,male,Adult,1,2,27.75,0,S
451,0,3,male,No age,1,0,19.9667,0,S
452,0,1,male,Young Adult,0,0,27.75,1,C
453,1,1,male,Adult,1,0,89.1042,1,C
454,0,3,male,No age,0,0,8.05,0,S
455,1,3,male,Young Adult,0,0,7.8958,0,C
456,0,1,male,Elderly,0,0,26.55,1,S
457,1,1,female,No age,1,0,51.8625,1,S
458,1,2,female,Adult,0,0,10.5,0,S
459,0,3,male,No age,0,0,7.75,0,Q
460,1,1,male,Adult,0,0,26.55,1,S
461,0,3,male,Young Adult,0,0,8.05,0,S
462,0,1,male,Adult,0,0,38.5,1,S
463,0,2,male,Adult,0,0,13.0,0,S
464,0,3,male,No age,0,0,8.05,0,S
465,0,3,male,Adult,0,0,7.05,0,S
466,0,2,male,No age,0,0,0.0,0,S
467,0,1,male,Adult,0,0,26.55,0,S
468,0,3,male,No age,0,0,7.725,0,Q
469,1,3,female,Baby/Toddler,2,1,19.2583,0,C
470,0,3,male,No age,0,0,7.25,0,S
471,0,3,male,Adult,0,0,8.6625,0,S
472,1,2,female,Young Adult,1,2,27.75,0,S
473,1,2,female,Young Adult,0,0,13.7917,1,C
474,0,3,female,Young Adult,0,0,9.8375,0,S
475,0,1,male,No age,0,0,52.0,1,S
476,0,2,male,Young Adult,1,0,21.0,0,S
477,0,3,male,Young Adult,1,0,7.0458,0,S
478,0,3,male,Young Adult,0,0,7.5208,0,S
479,1,3,female,Baby/Toddler,0,1,12.2875,0,S
480,0,3,male,Child,5,2,46.9,0,S
481,0,2,male,No age,0,0,0.0,0,S
482,0,3,male,Adult,0,0,8.05,0,S
483,1,3,female,Adult,0,0,9.5875,0,S
484,1,1,male,Young Adult,1,0,91.0792,1,C
485,0,3,female,No age,3,1,25.4667,0,S
